generation,average_score,average_distance,max_score,max_distance,min_score,min_distance
7480,224.9395,173.40953,362.58716,292.61877,182.21117,159.98944
7490,322.32623,233.50623,800.79767,412.79767,140.26962,66.26962
7500,270.60245,246.24245,916.077,822.077,55.09362,35.09362
7510,343.46954,263.31946,422.01172,314.01172,48.740746,48.740746
7520,628.344,573.51404,778.7979,704.7979,165.39793,123.48149
7530,541.3357,212.43498,905.4017,797.4017,44.3668,0.0
7540,331.5006,282.6106,410.21814,303.58755,187.91357,130.21812
7550,272.50858,270.4886,538.40845,410.40848,169.67203,169.67203
7560,296.42587,291.02585,301.72458,294.58023,283.43454,281.72458
7570,247.03328,245.19328,810.171,682.171,224.8768,224.8768
7580,343.91052,242.90053,1037.1045,871.1045,105.485596,31.485596
7590,436.0458,298.51517,971.26074,859.26074,160.78043,32.78043
7600,143.1495,138.1395,329.8105,309.8105,92.02884,92.02884
7610,290.9489,238.62889,643.43164,398.48575,143.56839,15.568393
7620,398.46344,308.94308,1324.6495,682.6512,0.0,0.0
7630,502.66132,217.34077,964.6348,694.12103,205.43126,154.69075
7640,147.01752,86.41787,875.09265,727.09265,77.126305,37.126305
7650,313.1931,304.8631,375.85583,310.3111,73.54476,73.54476
7660,217.03888,213.78888,455.9528,381.9528,168.54796,10.751003
7670,206.44084,190.80083,718.0,644.0,144.79388,144.79388
7680,357.2204,312.8101,487.25946,393.25946,303.53204,303.53204
7690,200.25572,154.6358,802.4647,674.4647,0.0,0.0
7700,322.5366,298.66653,876.6956,708.6956,70.05379,16.053787
7710,292.14395,275.00397,949.3369,707.5408,191.97656,168.83322
7720,305.8341,288.0742,414.03674,313.41644,164.06288,114.87394
7730,273.55612,272.8161,411.74982,380.5014,216.37825,216.37825
7740,230.98003,229.06001,303.5934,303.5934,0.0,0.0
7750,544.36536,508.92535,923.468,654.751,40.841377,40.841377
7760,160.25357,153.17355,424.0,404.0,60.82467,60.82467
7770,262.86346,246.37352,470.716,392.716,155.56044,151.34158
7780,473.70966,323.83884,586.192,380.19205,15.917202,15.917202
7790,309.87555,280.83554,1171.092,889.35596,69.02844,46.667725
7800,228.27036,227.06035,790.9562,716.9562,100.77806,100.77806
7810,188.37602,88.87615,305.783,305.783,160.3101,32.3101
7820,242.83832,224.61844,605.67847,345.6785,104.47155,104.47155
7830,240.0715,236.5715,604.2268,402.22684,221.04207,221.04207
7840,262.6844,260.9344,350.42487,286.84473,128.17453,128.17453
7850,266.32516,234.1752,1495.5321,1127.5321,194.9218,194.9218
7860,327.05313,326.51315,382.94412,382.94412,65.31332,65.31332
7870,713.71423,636.23425,1008.53827,880.53827,265.3684,265.3684
7880,344.4513,252.20145,613.8391,353.83914,86.1152,86.1152
7890,272.71466,233.25467,992.5237,716.9562,130.78043,32.78043
7900,351.95282,296.72278,487.7741,308.45224,135.48405,85.36449
7910,354.9475,286.63766,922.2281,720.2281,0.0,0.0
7920,172.94293,166.59286,352.77054,278.77054,27.139725,27.139725
7930,132.12395,127.29395,1075.7017,819.7017,68.88082,68.88082
7940,278.7144,277.97437,294.07245,294.07245,211.45496,137.45496
7950,144.35405,135.77405,952.9837,716.9837,20.0,0.0
7960,312.5832,195.47362,760.3917,686.3917,13.604512,13.604512
7970,273.79388,263.7039,717.87933,378.65472,101.887054,101.887054
7980,634.82623,596.42615,775.2931,721.2931,288.93903,288.93903
7990,305.7568,298.4168,353.89578,309.40558,104.03791,84.03791
8000,190.3003,152.87045,633.43164,427.4316,131.19286,81.73097
8010,211.6259,208.21594,553.7145,384.37778,0.0,0.0
8020,592.2866,552.93665,728.76953,674.76953,176.23203,176.23203
8030,260.63452,257.8945,981.945,833.945,237.96167,183.2719
8040,226.26186,224.78186,751.0,731.0,45.888306,45.888306
8050,524.92706,357.61658,1425.5321,1127.5321,138.24132,138.24132
8060,547.0173,383.058,782.1044,429.40872,95.68796,33.754356
8070,289.77557,280.87558,1276.3845,834.38446,15.568393,15.568393
