generation,average_score,average_distance,max_score,max_distance,min_score,min_distance
1810,1196.1819,1101.0717,5980.0,3168.0,732.4492,692.4492
1820,582.7205,539.81055,5980.0,3168.0,315.47812,315.47812
1830,803.72797,713.4079,5980.0,3168.0,291.84137,291.84137
1840,471.39825,432.64825,5980.0,3168.0,270.3852,270.3852
1850,594.67896,534.699,5980.0,3168.0,294.5877,294.5877
1860,1104.9508,1020.6708,5980.0,3168.0,309.76416,309.76416
1870,476.95453,438.84454,5980.0,3168.0,291.2031,291.2031
1880,472.56366,434.35367,5980.0,3168.0,289.02148,289.02148
1890,917.5452,850.8153,5980.0,3168.0,700.64813,700.64813
1900,690.3207,639.9607,5980.0,3168.0,264.37305,264.37305
1910,675.8681,606.3081,5980.0,3168.0,318.94608,318.94608
1920,480.94208,429.54208,5980.0,3168.0,291.84137,289.801
1930,1088.347,985.43695,5980.0,3168.0,296.47424,296.47424
1940,705.22595,651.72595,5980.0,3168.0,286.42896,286.42896
1950,1378.8997,1168.5093,5980.0,3168.0,299.34882,299.34882
1960,474.8524,423.54242,5980.0,3168.0,304.6452,291.84137
1970,445.0749,406.96487,5980.0,3168.0,271.9964,271.9964
1980,488.80484,450.32483,5980.0,3168.0,313.14755,313.14755
1990,852.37103,814.261,5980.0,3168.0,702.95917,702.95917
